standard_name
sea_water_speed
sea_water_temperature
sea_water_temperature_sample_count
sea_water_temperature_standard_deviation
sea_water_turbidity
sea_water_turbidity_sample_count
sea_water_turbidity_standard_deviation
sea_water_velocity_to_direction
sea_water_x_velocity
sea_water_y_velocity
significant_breaking_wave_height
solar_irradiance
specific_humidity
speed_of_sound_in_sea_water
surface_air_pressure
surface_air_pressure_sample_count
surface_air_pressure_standard_deviation
surface_downwelling_longwave_flux_in_air
surface_downwelling_longwave_flux_in_air_sample_count
surface_downwelling_longwave_flux_in_air_standard_deviation
surface_downwelling_photosynthetic_photon_flux_in_air
surface_downwelling_shortwave_flux_in_air
surface_downwelling_shortwave_flux_in_air_sample_count
surface_downwelling_shortwave_flux_in_air_standard_deviation
surface_partial_pressure_of_carbon_dioxide_in_air
surface_partial_pressure_of_carbon_dioxide_in_sea_water
surface_partial_pressure_of_carbon_dioxide_in_sea_water_sample_count
surface_partial_pressure_of_carbon_dioxide_in_sea_water_standard_deviation
temperature_of_sensor_for_oxygen_in_sea_water
temperature_of_sensor_for_oxygen_in_sea_water_sample_count
temperature_of_sensor_for_oxygen_in_sea_water_standard_deviation
thickness_of_rainfall_amount
time
tmask
tmaskutil
umask
umaskutil
upward_sea_water_velocity
vmask
vmaskutil
volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water_corrected_for_pure_water_attenuance
volume_concentration_of_dissolved_oxygen_in_sea_water
volume_fraction_of_oxygen_in_sea_water
volume_fraction_of_oxygen_in_sea_water_sample_count
volume_fraction_of_oxygen_in_sea_water_standard_deviation
wave_to_ocean_energy_flux
wet_bulb_temperature
whitecap_coverage
wind_chill_of_air_temperature
wind_from_direction
wind_gust_from_direction
wind_speed
wind_speed_of_gust
wind_to_direction
x
y
