,@id,prefLabel,udunits
95,http://vocab.nerc.ac.uk/collection/P06/current/UNMH/,Nanomoles per litre per hour,nmol l-1 hour-1
96,http://vocab.nerc.ac.uk/collection/P06/current/PUML/,per micromole per litre,umol-1 l-1
97,http://vocab.nerc.ac.uk/collection/P06/current/DKPM/,Degrees Kelvin per metre,degree degree_K m-1
98,http://vocab.nerc.ac.uk/collection/P06/current/MOLE/,Moles,mol
99,http://vocab.nerc.ac.uk/collection/P06/current/KSP2/,Kilograms per square metre per second,kg m-2 s-1
100,http://vocab.nerc.ac.uk/collection/P06/current/MGSQ/,Milligrams per square metre per hour,mg m-2 hour-1
101,http://vocab.nerc.ac.uk/collection/P06/current/UMTC/,Square Metres.Hertz squared,Metres Hz22
102,http://vocab.nerc.ac.uk/collection/P06/current/JOUL/,Joule,J
103,http://vocab.nerc.ac.uk/collection/P06/current/KMHR/,Kilometres per hour,km hour-1
104,http://vocab.nerc.ac.uk/collection/P06/current/UYKA/,Kiloyears before present,kyear before present
105,http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,Hectopascals,hPa
106,http://vocab.nerc.ac.uk/collection/P06/current/UECH/,MicroEinsteins per square centimetre per hour,ueinstein cm-2 hour-1
107,http://vocab.nerc.ac.uk/collection/P06/current/UCGS/,Magnetic susceptibility cgs units,magnetic susceptibility cgs amu(cd m-2)
108,http://vocab.nerc.ac.uk/collection/P06/current/LPUM/,Litres per micromole,l umol-1
109,http://vocab.nerc.ac.uk/collection/P06/current/MGPG/,Milligrams per gram,mg g-1
110,http://vocab.nerc.ac.uk/collection/P06/current/CCPM/,Millilitres per minute,ml minute-1
111,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,Cubic metres,m3
112,http://vocab.nerc.ac.uk/collection/P06/current/SQCM/,Square centimetres,cm2
113,http://vocab.nerc.ac.uk/collection/P06/current/UMTB/,Square metres.Hertz,m Hz2
114,http://vocab.nerc.ac.uk/collection/P06/current/UYBP/,Years before present,year before present
115,http://vocab.nerc.ac.uk/collection/P06/current/UMSM/,Micromoles per square metre,umol m-2
116,http://vocab.nerc.ac.uk/collection/P06/current/UGCC/,Grams per cubic centimetre,g cm-3
117,http://vocab.nerc.ac.uk/collection/P06/current/UVCC/,Millimetres per second,mm s-1
118,http://vocab.nerc.ac.uk/collection/P06/current/KMSS/,Kelvin square metres per kilogram per second,degree_K m2 kg-1 s-1
119,http://vocab.nerc.ac.uk/collection/P06/current/M4S1/,Metres to the power four per second,m to the power four s-1
120,http://vocab.nerc.ac.uk/collection/P06/current/UCCL/,Milligrams of carbon per milligram of chlorophyll per hour,mg of carbon mg-1 of chlorophyll hour-1
121,http://vocab.nerc.ac.uk/collection/P06/current/PAMT/,Pascal metres,Pa m
122,http://vocab.nerc.ac.uk/collection/P06/current/UMKG/,Milligrams per kilogram,mg kg-1
123,http://vocab.nerc.ac.uk/collection/P06/current/ULDM/,Decimetres,dm
124,http://vocab.nerc.ac.uk/collection/P06/current/UGPG/,Picograms,pg
125,http://vocab.nerc.ac.uk/collection/P06/current/MWSR/,Milliwatts per square centimetre per micrometre per steradian,mW cm-2 um-1 sr-1
126,http://vocab.nerc.ac.uk/collection/P06/current/UUKG/,Micrograms per kilogram,ug kg-1
127,http://vocab.nerc.ac.uk/collection/P06/current/UOHM/,Ohms,O
